ID;nom;x;y;nom;iniciAne;fiAne
238;Can Camps- Ca n'alzina- Can Bordoll;427756;4598639;bronze final;1300;750
239;Buxó prehistòric;426290;4601340;primer ferro;750;550
240;Collsalarca;425229;4602300;prehistòric;5500;550
241;Can Torres;425171;4598271;prehistòric;5500;550
242;Can Roqueta-Xarxa de clavagueram;427737;4598675;bronze final-primer ferro;1300;550
242;Can Roqueta-Xarxa de clavagueram;427737;4598675;prehistòric;5500;550
243;Can Roqueta-Plaça de Can Ferran;427612;4599495;neolític final;3300;2300
244;Antic Vapor Gorina ;426175;4599334;calcolític;2800;2250
245;Bòbila Madurell;424133;4598462;neolític antic cardial;5500;5000
245;Bòbila Madurell;424133;4598462;neolític mitjà;4000;3300
245;Bòbila Madurell;424133;4598462;neolític final;3300;2300
245;Bòbila Madurell;424133;4598462;bronze inicial;2300;1300
245;Bòbila Madurell;424133;4598462;bronze final;1300;750
245;Bòbila Madurell;424133;4598462;bronze final-primer ferro;1300;550
245;Bòbila Madurell;424133;4598462;primer ferro;750;550
246;Can Pallàs;422194;4598912;calcolític;3300;2300
247;Sepulcre de fossa del Torrent de Can Corbera;419960;4596444;neolític mitjà;4000;3300
248;Vall suau;422665;4598265;bronze inicial;2300;1300
249;Els Peons;427512;4604477;prehistòric;5500;550
250;Can Montlló;428010;4603816;bronze final;1300;750
251;Sepulcre Megalític de Serracavallera;426483;4609043;calcolític;3300;2300
252;Paratge del Castell de Sentmenat;427934;4607650;neolític mitjà;4000;3300
253;Cova Negra;419108;4610178;bronze final;1300;750
254;Cova del Frare;418391;4610042;neolític antic cardial;5500;5000
254;Cova del Frare;418391;4610042;neolític antic epicardial;5000;4400
254;Cova del Frare;418391;4610042;neolític antic postcardial/ neolític antic evolucionat;4400;4000
254;Cova del Frare;418391;4610042;neolític final;3300;2300
254;Cova del Frare;418391;4610042;calcolític;2800;2250
254;Cova del Frare;418391;4610042;bronze inicial;2300;1300
254;Cova del Frare;418391;4610042;bronze final;1300;750
255;Cova de les ànimes;418416;4610905;neolític antic postcardial/ neolític antic evolucionat;4400;4000
256;Bòbila Molist;437007;4597520;bronze final;1300;750
258;Can Planes;432410;4601900;bronze final-primer ferro;1300;550
258;Can Planes;432410;4601900;prehistòric;5500;550
259;Dolmen de Castell Ruf;438938;4596147;calcolític;3300;2300
260;Menhir de Castellruf;437837;4596880;neolític final;3300;2300
261;Pineda al nord del PK 2.600;435220;4596400;prehistòric;5500;550
262;Can Torres;435429;4595485;prehistòric;5500;550
263;Menhir del Pla de les Pruneres;434655;4599007;calcolític;3300;2300
264;Cova de la Torre Negra;424716;4590390;calcolític;2800;2250
265;Sant Joan Nord;422950;4594100;bronze inicial;2300;1300
266;Turó de la Torre Negre- Cavitat;424530;4590359;indeterminat;5500;550
267;Ca n'Amell Xic;438027;4608993;neolític mitjà;4000;3300
268;Ca l'Estrada;439973;4608351;neolític final;3300;2300
268;Ca l'Estrada;439973;4608351;bronze final;1300;750
269;Can Gol;442906;4601744;neolític final;3300;2300
270;Can Planes Vell;444828;4604112;indeterminat;5500;550
272;Vinya d'en Tomàs;445122;4604540;calcolític;2800;2250
273;La Pedra de les Orenetes;443768;4602097;calcolític;3300;2300
274;Can Gol II;443079;4601840;calcolític;3300;2300
275;Dolmen de Can Planes;445122;4604102;calcolític;3300;2300
276;Dolmen de Céllecs o Séllecs;444613;4601859;calcolític;3300;2300
277;A l'est del dolmen de Céllecs;444650;4601860;indeterminat;5500;550
278;Pedra de les Creus;443729;4602276;calcolític;3300;2300
279;Turó de la Simona;446708;4604601;prehistòric;5500;550
280;Turó de Joan Capella;445692;4604428;bronze;2300;750
281;Can Sant Pere;444616;4603301;bronze final-primer ferro;1300;550
282;A prop de Cal Ros de Cabanes;437483;4613423;prehistòric;5500;550
283;Turó d'en Grèsol;437122;4614071;prehistòric;5500;550
284;Els quatre cantons;438964;4613153;neolític mitjà;4000;3300
285;Coll de san sous;437817;4615511;bronze final;1300;750
286;CASALOTS II, ELS;439468;4612250;prehistòric;5500;550
287;Pla de Magús II ;436843;4616161;prehistòric;5500;550
288;Km  6 de l'autopista de l'atmella;439106;4611012;prehistòric;5500;550
289;Turó Arbocer;436557;4616025;prehistòric;5500;550
290;Bòbila Negrell;431165;4608470;neolític mitjà;4000;3300
291;Cova Solanes;428810;4615414;bronze inicial;2300;1300
291;Cova Solanes;428810;4615414;prehistòric;5500;550
292;Finca Catafau_Carrer Sant Félix ;430742;4609123;neolític mitjà;4000;3300
293;Fàbrica de Cortès/Bòbila de Curtes;431180;4609457;neolític mitjà;4000;3300
294;Turó gros de Can Palau;432387;4611221;neolític antic cardial;5500;5000
295;Cau de la Mostela I;449015;4606906;calcolític;3300;2300
296;Cau de la Mostela II;449084;4607015;calcolític;3300;2300
297;El Coll;448004;4607654;neolític final;3300;2300
298;El Coll (URBANITZACIÓ SANT JOSEP)/TOMBA DEL GUERRER;447646;4607460;primer ferro;750;550
299;Els Dragons;448611;4607221;prehistòric;5500;550
300;Fragments de molí de mà(Tram la Roca-Llinars PK 401+320);447219;4607825;prehistòric;5500;550
301;Pedra Arca;453059;4611485;calcolític;3300;2300
302;Pla Marsell;447009;4608115;calcolític;3300;2300
303;Puig Pedrós;449646;4606683;bronze final;1300;750
304;Sant Esteve del Coll;448081;4607676;bronze final;1300;750
305;Can Massot;437458;4600737;neolític final;3300;2300
305;Can Massot;437458;4600737;bronze final-primer ferro;1300;550
307;Sepulcre de Cocurny;437387;4600240;neolític mitjà;4000;3300
308;Hàbitat neolític de Montmeló;437174;4600603;neolític antic postcardial/ neolític antic evolucionat;4400;4000
309;La Tallada;440025;4614689;bronze final;1300;750
310;Can Poi del Bosc;441601;4615175;neolític mitjà;4000;3300
312;Ca l'Oliveró I;440852;4616740;bronze final;1300;750
313;CAan Figueres;441190;4614429;bronze final;1300;750
314;Forn d'Asquens;440994;4613240;neolític mitjà;4000;3300
315;Can Caselles;440661;4615035;bronze final;1300;750
316;Cal Jardiner I;441348;4605159;calcolític;3300;2300
317;Can Vilaró;440665;4606696;neolític final;3300;2300
319;Can Grau Gros;442355;4612655;bronze final;1300;750
320;Santa Digna III;441735;4613052;bronze final;1300;750
